date,A,B
0,0.7571306796276412,0.3001114392312223
1,0.6610297527819436,0.42586151567357844
2,-0.7223190883031555,0.4332164725435688
3,-0.6990690041198172,0.3201315348004276
4,0.6855042484618051,0.11804580701963141
5,0.73516948771866,-0.11685821244220533
6,-0.6467882607880469,-0.3192741071829708
7,-0.7692310840587198,-0.4329275880754228
8,0.606278498527501,-0.42622148804802124
9,0.8011593281819837,-0.3010201913791919
10,-0.5640873097026456,-0.09213131027187306
11,-0.8308656716771978,0.14237129054135633
12,0.5203317055316624,0.3372927943384467
13,0.8582677282562081,0.43844245154490263
14,-0.4751330359145833,0.4176993230316733
15,-0.8832895022405286,0.2808302721809648
