date,A,B
0,-0.7877761866069685,0.22355068638793696
1,-0.7157075888706275,0.19261009766255788
2,-0.6436389911342864,0.1616695089371788
3,-0.6342281581995254,0.1307289202117997
4,-0.6248173252647644,0.0997883314864206
5,-0.6154064923300034,0.06884774276104152
6,-0.6059956593952425,0.037907154035662416
7,-0.5965848264604815,0.006966565310283335
8,-0.5871739935257205,-0.023974023415095747
9,-0.5777631605909594,-0.05491461214047483
10,-0.5683523276561985,-0.08585520086585391
11,-0.5589414947214375,-0.11679578959123299
12,-0.5495306617866765,-0.14773637831661213
13,-0.5401198288519156,-0.1786769670419912
14,-0.5307089959171546,0.07451471068127147
15,-0.5212981629823936,0.32770638840453414
