date,A,B
0,0.277732663208306,-0.5829794184807411
1,0.22961654768681974,-0.4971709203160824
2,0.18150043216533351,-0.4113624221514237
3,0.1333843166438473,-0.3255539239867651
4,0.13410126565746147,-0.2397454258221064
5,0.13481821467107563,-0.1539369276574477
6,0.1355351636846898,-0.06812842949278908
7,0.13625211269830395,0.017680068671869664
8,0.1369690617119181,0.1034885668365283
9,0.13768601072553227,0.18929706500118693
10,0.13840295973914643,0.27510556316584567
11,0.1391199087527606,0.3609140613305043
12,0.13983685776637475,0.44672255949516293
13,0.1405538067799889,0.26492983354213845
14,0.14127075579360307,0.08313710758911397
15,0.14198770480721723,-0.09865561836391046
