date,A,B
0,-0.7850354075617713,0.27383699752698765
1,-0.6577409058856194,-0.09839511832819614
2,-0.5304464042094675,-0.47062723418337993
3,-0.4031519025333157,-0.49080744100332996
4,-0.2758574008571638,-0.51098764782328
5,-0.14856289918101195,-0.53116785464323
6,-0.021268397504860093,-0.55134806146318
7,0.10602610417129177,-0.5715282682831301
8,0.23332060584744363,-0.5917084751030801
9,0.3606151075235954,-0.6118886819230301
10,0.48790960919974735,-0.6320688887429802
11,0.6152041108758993,-0.6522490955629302
12,0.6704151577655513,-0.6724293023828802
13,0.7256262046552031,-0.6926095092028303
14,0.7808372515448551,-0.7127897160227803
15,0.836048298434507,-0.7329699228427303
