date,A,B
0,-0.12468248188771103,-0.512804954663916
1,-0.12468248188771103,-0.512804954663916
2,-0.12468248188771103,-0.512804954663916
3,-0.12468248188771103,-0.512804954663916
4,-0.12468248188771103,-0.512804954663916
5,-0.12468248188771103,-0.512804954663916
6,-0.12468248188771103,-0.512804954663916
7,-0.12468248188771103,-0.512804954663916
8,-0.12468248188771103,-0.512804954663916
9,-0.12468248188771103,-0.512804954663916
10,-0.12468248188771103,-0.512804954663916
11,-0.12468248188771103,-0.512804954663916
12,-0.12468248188771103,-0.512804954663916
13,-0.12468248188771103,-0.512804954663916
14,-0.12468248188771103,-0.512804954663916
15,-0.12468248188771103,-0.512804954663916
