date,A,B
0,-0.5530723796101853,0.49894382231219625
1,-0.5530723796101853,0.49894382231219625
2,-0.5530723796101853,0.49894382231219625
3,-0.5530723796101853,0.49894382231219625
4,-0.5530723796101853,0.49894382231219625
5,-0.5530723796101853,0.49894382231219625
6,-0.5530723796101853,0.49894382231219625
7,-0.5530723796101853,0.49894382231219625
8,-0.5530723796101853,0.49894382231219625
9,-0.5530723796101853,0.49894382231219625
10,-0.5530723796101853,0.49894382231219625
11,-0.5530723796101853,0.49894382231219625
12,-0.5530723796101853,0.49894382231219625
13,-0.5530723796101853,0.49894382231219625
14,-0.5530723796101853,0.49894382231219625
15,-0.5530723796101853,0.49894382231219625
