date,A,B
0,-0.9363004957657113,-0.041106858277415004
1,-0.9363004957657113,-0.041106858277415004
2,-0.9363004957657113,-0.041106858277415004
3,-0.9363004957657113,-0.041106858277415004
4,-0.9363004957657113,-0.041106858277415004
5,-0.9363004957657113,-0.041106858277415004
6,-0.9363004957657113,-0.041106858277415004
7,-0.9363004957657113,-0.041106858277415004
8,-0.9363004957657113,-0.041106858277415004
9,-0.9363004957657113,-0.041106858277415004
10,-0.9363004957657113,-0.041106858277415004
11,-0.9363004957657113,-0.041106858277415004
12,-0.9363004957657113,-0.041106858277415004
13,-0.9363004957657113,-0.041106858277415004
14,-0.9363004957657113,-0.041106858277415004
15,-0.9363004957657113,-0.041106858277415004
