date,A,B
0,-0.908127003083719,-0.30600562240098433
1,0.6323061552270425,0.2714177756677872
2,0.4511454266732305,0.20820232188453247
3,-0.9583588854863065,-0.3464418753436313
4,0.2414816348161143,-0.08336466612543032
5,0.7838347926236875,0.37648168932950216
6,-0.8079762928507863,-0.052297604740364496
7,-0.19989254098345843,-0.35763665112178705
8,0.9524430321608267,0.18116921154394575
9,-0.48845900309055745,0.29235372410138055
10,-0.5994229588957356,-0.2865166194837596
11,0.9216751697028447,-0.18910967175667667
12,-0.06669197373207461,0.354660830053167
13,-0.8734754122940828,0.06131037910621734
14,0.6979718807300163,-0.37675355193827476
15,0.3690357706593014,0.07444985535226978
